top - 11:18:00 up 12 min,  1 user,  load average: 0.66, 0.39, 0.30
Tasks: 354 total,   4 running, 350 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.3 us, 50.0 sy,  0.0 ni, 25.0 id, 13.3 wa,  0.0 hi,  3.3 si,  0.0 st
MiB Mem :   3878.7 total,   1955.7 free,   1502.7 used,    687.1 buff/cache
MiB Swap:    975.0 total,    975.0 free,      0.0 used.   2376.0 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
BLACKLISTED:    1191 rtkit     21   1   22784   3200   2944 S   0.0   0.1   0:00.08 rtkit-d+
BLACKLISTED:    1267 root      20   0  471820  17628  11100 S   0.0   0.4   0:00.27 udisksd
BLACKLISTED:    1322 root      20   0  307984   8676   6016 S   0.0   0.2   0:00.06 upowerd
BLACKLISTED:    1391 root      20   0  311332   8844   6272 S   0.0   0.2   0:00.05 power-p+
BLACKLISTED:    1413 root      20   0   17352   7040   6144 S   0.0   0.2   0:00.01 wpa_sup+
BLACKLISTED:    1424 colord    20   0  316880  12840   9540 S   0.0   0.3   0:00.19 colord
BLACKLISTED:    1721 root      20   0  387176   9400   8448 S   0.0   0.2   0:00.16 gdm-ses+
BLACKLISTED:    1736 kali      20   0   20988  12288   9344 S   0.0   0.3   0:01.21 systemd
BLACKLISTED:    1738 kali      20   0   23244   5404   1792 S   0.0   0.1   0:00.00 (sd-pam)
BLACKLISTED:    1752 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
BLACKLISTED:    1755 kali       9 -11  111156  11520   7936 S   0.0   0.3   0:00.09 pipewire
BLACKLISTED:    1756 kali      20   0   94748   5504   4736 S   0.0   0.1   0:00.02 pipewire
BLACKLISTED:    1760 kali       9 -11  556640  34564  24704 S   0.0   0.9   0:00.29 wireplu+
BLACKLISTED:    1763 kali       9 -11  101636   9216   7680 S   0.0   0.2   0:00.04 pipewir+
BLACKLISTED:    1765 kali      20   0  314580  11696   8832 S   0.0   0.3   0:00.11 gnome-k+
BLACKLISTED:    1767 kali      20   0   10504   6272   4224 S   0.0   0.2   0:01.10 dbus-da+
BLACKLISTED:    1783 kali      20   0  312224   9288   6528 S   0.0   0.2   0:00.07 gvfsd
BLACKLISTED:    1800 kali      20   0  457652  10632   6016 S   0.0   0.3   0:00.01 gvfsd-f+
BLACKLISTED:    1816 kali      39  19  709460  30556  18816 S   0.0   0.8   0:01.40 tracker+
BLACKLISTED:    1823 kali      20   0  237184   8288   5760 S   0.0   0.2   0:00.02 gdm-x-s+
BLACKLISTED:    1827 kali      20   0  383000  85288  54656 S   0.0   2.1   0:06.76 Xorg
BLACKLISTED:    1844 kali      20   0  426288  14808  11136 S   0.0   0.4   0:00.07 gvfs-ud+
BLACKLISTED:    1850 kali      20   0  307700   8172   5632 S   0.0   0.2   0:00.04 gvfs-mt+
BLACKLISTED:    1855 kali      20   0  387456   9904   6784 S   0.0   0.2   0:00.09 gvfs-af+
BLACKLISTED:    1861 kali      20   0  307696   8024   5504 S   0.0   0.2   0:00.03 gvfs-go+
BLACKLISTED:    1866 kali      20   0  659092  42420  31104 S   0.0   1.1   0:00.18 goa-dae+
BLACKLISTED:    1874 kali      20   0  387156  10968   7936 S   0.0   0.3   0:00.03 goa-ide+
BLACKLISTED:    1880 kali      20   0  308656   8448   5760 S   0.0   0.2   0:00.05 gvfs-gp+
BLACKLISTED:    1892 kali      20   0  372436  18592  14720 S   0.0   0.5   0:00.06 gnome-s+
BLACKLISTED:    1954 kali      20   0    8612   1400    640 S   0.0   0.0   0:00.00 ssh-age+
